token,if the encountered value is,correct to,language
pi,"[['pi', '(any)more']]","[['pi', 'anymore']]",piem
PIEMONTéS,"[['PIEMONTéS', 'Piedmontese']]","[['PIEMONTéS', 'Piedmontese']]",spa
qui,"[['qui', 'qui']]","[['qui', 'here']]",piem
rotonda,"[['rotond', 'round'], ['-a', 'SG']]","[['rotond', 'round'], ['-a', 'F.SG']]",piem
SE,"[['SE', 'IMP']]","[['SE', 'IMPERS']]",spa
SEA,"[['SEA', 'be:SUBJ.3SG']]","[['SEA', 'be:SBJ.3SG']]",spa
si,"[['si', 'IMP']]","[['si', 'IMPERS']]",piem
sì,"[['sì', 'sì']]","[['sì', 'yes']]",piem
SON,"[['SON', '']]","[['SON', 'be:3PL']]",spa
TODO,"[['TODO', 'all']]","[['TOD', 'all'], ['-O', 'M.SG']]",spa
TORINO,"[['Torino', 'Torino']]","[['TORINO', 'Torino']]",piem-spa
tramolé,"[['tramol', 'tremble'], ['-é', 'INF']]","[['tramol', 'shiver'], ['-é', 'INF']]",piem
tuti,"[['tut', 'all'], ['-i', 'PL']]","[['tut', 'all'], ['-i', 'M.PL']]",piem
tutti,"[['tutti', 'all']]","[['tutt', 'all'], ['-i', 'M.PL']]",piem
UN,"[['UN', 'the:M.SG']]","[['UN', 'one:M']]",spa
UNA,"[['UN', ''], ['-A', '']]","[['UNA', 'one:F']]",spa
UNO,"[['UN', 'one:M'], ['-O', 'M.SG']]","[['UNO', 'one']]",spa
UNO,"[['UNO', 'one:M']]","[['UNO', 'one']]",spa
VIDEO,"[['VIDE', 'video'], ['-O', 'SG']]","[['VIDEO', 'video:SG']]",spa
VIDEO,"[['VIDEO', 'video']]","[['VIDEO', 'video:SG']]",spa
VINIERON,"[['VIN', 'come'], ['-IERON', 'PRF:3PL']]","[['VIN', 'come'], ['-IERON', 'PRF.3PL']]",spa
vòta,"[['vòt', 'time'], ['-a', 'SG']]","[['vòta', 'time']]",piem
vòta,"[['vòt', 'time'], ['-a', 'F.SG']]","[['vòta', 'time']]",piem
xxx,"[['***', '']]","[['xxx', '']]",
xxx,"[['xxx', '***']]","[['xxx', '']]",
xxx,"[['', '']]","[['xxx', '']]",
YO,"[['YO', '1SG:NOM']]","[['YO', '1SG']]",spa
YO,"[['YO', '1SG.NOM']]","[['YO', '1SG']]",spa
al,"[['al', 'at.the:M.SG']]","[['al', 'at_the:M.SG']]",piem
al,"[['al', 'to.the:M.SG']]","[['al', 'to_the:M.SG']]",piem
sa,"[['sa', 'IMP']]","[['sa', 'IMPERS']]",piem
parlavo,"[['parl', 'talk'], ['-av', 'IMPF'], ['-o', '1PL']]","[['parl', 'speak'], ['-av', 'IMPF'], ['-o', '1PL']]",piem
parlavo,"[['parl', 'talk'], ['-av', 'IMPF'], ['-o', '1SG']]","[['parl', 'speak'], ['-av', 'IMPF'], ['-o', '1SG']]",piem
parlavo,"[['parl', 'talk'], ['-av', 'IMPF'], ['-o', '3PL']]","[['parl', 'speak'], ['-av', 'IMPF'], ['-o', '3PL']]",piem
parlo,"[['parl', 'talk'], ['-o', '1SG']]","[['parl', 'speak'], ['-o', '1SG']]",piem
